Crime_type,Crime_address,City,Agency,Crime_date,Crime_time,Crime_address1,Crime_long,Crime_lat
Aggravated assault,300 block South Av,Syracuse,Syracuse,12/25/17,7:45 p.m.,300 block South Av   Syracuse,-74.166842,40.6320336
Burglary,700 block E  Laurel St,Syracuse,Syracuse,12/25/17,2:59 a.m.,700 block E  Laurel St   Syracuse,-122.2597079,37.5049304
Burglary,100 block Pharis St,Syracuse,Syracuse,12/25/17,11:00 a.m.-1:00 p.m.,100 block Pharis St   Syracuse,-98.5722436,29.4287075
Burglary,900 block Butternut St,Syracuse,Syracuse,12/25/17,2:15 p.m.-3:45 p.m.,900 block Butternut St   Syracuse,-76.1435849,43.0630432
Larceny,400 block W  Onondaga St,Syracuse,Syracuse,12/25/17,12:22 p.m.,400 block W  Onondaga St   Syracuse,-79.0443258,43.1744705
Robbery,2100 block E  Fayette St,Syracuse,Syracuse,12/25/17,12:50 p.m.,2100 block E  Fayette St   Syracuse,-94.5751265,39.1439879
Robbery,200 block Wyoming St,Syracuse,Syracuse,12/25/17,4:30 p.m.,200 block Wyoming St   Syracuse,-84.1829838,39.7453847
Aggravated assault,200 block Hall Av,Syracuse,Syracuse,12/24/17,11:20 p.m.,200 block Hall Av   Syracuse,-72.8280793,41.4586811
Burglary,100 block Kenmore Av,Syracuse,Syracuse,12/24/17,1:42 a.m.,100 block Kenmore Av   Syracuse,-78.8216478,42.9579763
Burglary,2600 block Erie Blvd E,Syracuse,Syracuse,12/24/17,11:00 p.m.-5:00 a.m.,2600 block Erie Blvd E   Syracuse,-76.1004392,43.0536174
Burglary,100 block Parkside Av,Syracuse,Syracuse,12/24/17,7:43 p.m.,100 block Parkside Av   Syracuse,-78.8523398,42.9330347
Larceny,300 block Burdick Av,Syracuse,Syracuse,12/24/17,1:15 p.m.,300 block Burdick Av   Syracuse,-76.1550343,43.0771157
Larceny,100 block Milford Ct,Syracuse,Syracuse,12/24/17,8:39 p.m.,100 block Milford Ct   Syracuse,NA,NA
Robbery,900 block N  Salina St,Syracuse,Syracuse,12/24/17,6:53 p.m.,900 block N  Salina St   Syracuse,-75.8980896,43.9680485
Vehicle theft,100 block Green St,Syracuse,Syracuse,12/24/17,8:04 p.m.,100 block Green St   Syracuse,-71.2558362,42.0311758
Vehicle theft,200 block Fenway Dr,Syracuse,Syracuse,12/24/17,9:46 p.m.,200 block Fenway Dr   Syracuse,-76.1107128,43.04809
Aggravated assault,300 block Bruce St,Syracuse,Syracuse,12/23/17,1:29 a.m.,300 block Bruce St   Syracuse,NA,NA
Aggravated assault,500 block Helen St,Syracuse,Syracuse,12/23/17,1:46 a.m.,500 block Helen St   Syracuse,-83.3171694,42.3142856
Aggravated assault,1800 block E  Fayette St,Syracuse,Syracuse,12/23/17,5:16 p.m.,1800 block E  Fayette St   Syracuse,-75.2973987,40.082885
Burglary,100 block Titus Al,Syracuse,Syracuse,12/23/17,5:00 a.m.-6:00 a.m.,100 block Titus Al   Syracuse,-86.1908733,32.5609307
Burglary,300 block Montgomery St,Syracuse,Syracuse,12/23/17,7:56 a.m.,300 block Montgomery St   Syracuse,-122.402219,37.7924422
Larceny,3200 block James St,Syracuse,Syracuse,12/23/17,8:00 a.m.-12:56 a.m.,3200 block James St   Syracuse,-76.1025644,43.0690354
Larceny,300 block N  Clinton St,Syracuse,Syracuse,12/23/17,11:45 p.m.,300 block N  Clinton St   Syracuse,-74.0348387,40.740946
Robbery,800 block James St,Syracuse,Syracuse,12/23/17,9:46 a.m.,800 block James St   Syracuse,-76.1403978,43.0563387
Robbery,600 block S  Geddes St,Syracuse,Syracuse,12/23/17,1:00 p.m.,600 block S  Geddes St   Syracuse,-75.5778052,39.743401
Robbery,400 block Gifford St,Syracuse,Syracuse,12/23/17,7:00 p.m.,400 block Gifford St   Syracuse,-76.160752,43.04351
Vehicle theft,1600 block Hawley Av,Syracuse,Syracuse,12/23/17,9:00 p.m.-10:15 p.m.,1600 block Hawley Av   Syracuse,-76.122008,43.055625
Aggravated assault,1000 block W  Onondaga St,Syracuse,Syracuse,12/22/17,12:38 a.m.,1000 block W  Onondaga St   Syracuse,-76.1676513,43.0344224
Aggravated assault,600 block Teall Av,Syracuse,Syracuse,12/22/17,2:51 a.m.,600 block Teall Av   Syracuse,-76.12166,43.055815
Aggravated assault,600 block Teall Av,Syracuse,Syracuse,12/22/17,2:51 a.m.,600 block Teall Av   Syracuse,NA,NA
Burglary,200 block Robert Dr,Syracuse,Syracuse,12/22/17,11:00 p.m.-9:30 a.m.,200 block Robert Dr   Syracuse,-89.0185172,40.5070917
Larceny,100 block Polk St,Syracuse,Syracuse,12/22/17,11:00 p.m.-8:45 a.m.,100 block Polk St   Syracuse,-122.4177977,37.7767168
Larceny,100 block Nichols Av,Syracuse,Syracuse,12/22/17,10:00 p.m.-9:00 a.m.,100 block Nichols Av   Syracuse,-87.912262,30.5177341
Aggravated assault,600 block E  Division St,Syracuse,Syracuse,12/21/17,11:58 a.m.,600 block E  Division St   Syracuse,-86.7771049,36.1499612
Aggravated assault,600 block Oak St,Syracuse,Syracuse,12/21/17,3:45 p.m.,600 block Oak St   Syracuse,NA,NA
Burglary,800 block Pond St,Syracuse,Syracuse,12/21/17,4:00 p.m.-9:30 a.m.,800 block Pond St   Syracuse,-71.4301828,42.1179053
Burglary,100 block Rosemont Dr,Syracuse,Syracuse,12/21/17,6:00 p.m.-6:30 a.m.,100 block Rosemont Dr   Syracuse,-78.7972474,42.9831728
Burglary,400 block Burns Av,Syracuse,Syracuse,12/21/17,6:45 p.m.,400 block Burns Av   Syracuse,-76.0915145,43.0629576
Burglary,100 block Linwill Ter,Syracuse,Syracuse,12/21/17,7:30 a.m.-10:30 a.m.,100 block Linwill Ter   Syracuse,-76.1159311,43.0721998
Burglary,200 block S  Beech St,Syracuse,Syracuse,12/21/17,11:48 p.m.,200 block S  Beech St   Syracuse,-71.4554127,42.9799619
Larceny,100 block W  Ostrander Av,Syracuse,Syracuse,12/21/17,1:00 a.m.-10:40 a.m.,100 block W  Ostrander Av   Syracuse,NA,NA
Larceny,2500 block Erie Blvd E,Syracuse,Syracuse,12/21/17,10:33 a.m.,2500 block Erie Blvd E   Syracuse,-76.1035502,43.0532582
Larceny,100 block New St,Syracuse,Syracuse,12/21/17,9:00 a.m.-10:40 a.m.,100 block New St   Syracuse,-75.6074151,39.9563733
Larceny,1 block Destiny Usa Dr,Syracuse,Syracuse,12/21/17,11:39 p.m.,1 block Destiny Usa Dr   Syracuse,-76.1726785,43.069265
Larceny,900 block Darlington Rd,Syracuse,Syracuse,12/21/17,5:35 a.m.-8:35 a.m.,900 block Darlington Rd   Syracuse,-80.3350792,40.7494297
Robbery,900 block James St,Syracuse,Syracuse,12/21/17,1:37 a.m.,900 block James St   Syracuse,-89.2820602,31.3151523
Robbery,100 block Depalma Av,Syracuse,Syracuse,12/21/17,7:38 p.m.,100 block Depalma Av   Syracuse,-76.18257,43.038099
Aggravated assault,1 block Destiny Usa Dr,Syracuse,Syracuse,12/20/17,7:50 p.m.,1 block Destiny Usa Dr   Syracuse,NA,NA
Aggravated assault,100 block Highland Av,Syracuse,Syracuse,12/20/17,11:56 p.m.,100 block Highland Av   Syracuse,-118.3381692,34.0737719
Burglary,100 block Steuben St,Syracuse,Syracuse,12/20/17,12:42 a.m.,100 block Steuben St   Syracuse,-73.963558,40.694444
Burglary,100 block Colby Av,Syracuse,Syracuse,12/20/17,12:53 a.m.,100 block Colby Av   Syracuse,-122.2089321,47.9789067
Burglary,700 block S  Geddes St,Syracuse,Syracuse,12/20/17,12:29 p.m.,700 block S  Geddes St   Syracuse,-75.5788226,39.7424105
Burglary,300 block Hillsdale Av,Syracuse,Syracuse,12/20/17,1:53 p.m.-2:53 p.m.,300 block Hillsdale Av   Syracuse,-74.0350127,41.0031575
Burglary,100 block East Av,Syracuse,Syracuse,12/20/17,6:40 p.m.-7:50 p.m.,100 block East Av   Syracuse,-77.6016748,43.1569933
Burglary,300 block Broad St,Syracuse,Syracuse,12/20/17,8:52 p.m.,300 block Broad St   Syracuse,-74.0645183,40.3418178
Burglary,300 block Furman St,Syracuse,Syracuse,12/20/17,2:20 p.m.-11:30 p.m.,300 block Furman St   Syracuse,NA,NA
Burglary,200 block Fenway Dr,Syracuse,Syracuse,12/20/17,3:00 p.m.,200 block Fenway Dr   Syracuse,NA,NA
Larceny,500 block S  State St,Syracuse,Syracuse,12/20/17,6:16 a.m.,500 block S  State St   Syracuse,-111.7250832,40.3469203
Larceny,500 block State Fair Blvd,Syracuse,Syracuse,12/20/17,1:45 p.m.,500 block State Fair Blvd   Syracuse,-76.195817,43.0646946
Larceny,1600 block Hawley Av,Syracuse,Syracuse,12/20/17,8:00 p.m.-7:00 a.m.,1600 block Hawley Av   Syracuse,-76.122008,43.055625
Larceny,1 block Destiny Usa Dr,Syracuse,Syracuse,12/20/17,9:27 p.m.,1 block Destiny Usa Dr   Syracuse,-76.1726785,43.069265
Larceny,200 block Robert Dr,Syracuse,Syracuse,12/20/17,9:53 p.m.,200 block Robert Dr   Syracuse,NA,NA
Larceny,100 block Broad St,Syracuse,Syracuse,12/20/17,9:15 a.m.,100 block Broad St   Syracuse,-71.3871145,41.8801469
Larceny,100 block Polk St,Syracuse,Syracuse,12/20/17,2:30 p.m.-9:30 p.m.,100 block Polk St   Syracuse,-122.4177977,37.7767168
Larceny,300 block Allen St,Syracuse,Syracuse,12/20/17,1:20 a.m.-1:25 a.m.,300 block Allen St   Syracuse,-72.4595779,42.0738224
Larceny,800 block James St,Syracuse,Syracuse,12/20/17,3:55 p.m.-5:20 p.m.,800 block James St   Syracuse,NA,NA
Vehicle theft,100 block Edtim Rd,Syracuse,Syracuse,12/20/17,8:00 a.m.-8:10 a.m.,100 block Edtim Rd   Syracuse,NA,NA
Vehicle theft,400 block Boyden St,Syracuse,Syracuse,12/20/17,10:41 a.m.,400 block Boyden St   Syracuse,-76.121856,43.0610488
Vehicle theft,700 block Lodi St,Syracuse,Syracuse,12/20/17,3:30 p.m.-3:35 p.m.,700 block Lodi St   Syracuse,-76.1383033,43.0552135
Aggravated assault,800 block Highland St,Syracuse,Syracuse,12/19/17,1:40 a.m.-10:51 a.m.,800 block Highland St   Syracuse,NA,NA
Aggravated assault,1500 block Midland Av,Syracuse,Syracuse,12/19/17,3:00 p.m.,1500 block Midland Av   Syracuse,NA,NA
Burglary,800 block James St,Syracuse,Syracuse,12/19/17,5:00 p.m.-9:00 a.m.,800 block James St   Syracuse,NA,NA
Burglary,800 block Maryland Av,Syracuse,Syracuse,12/19/17,10:00 a.m.,800 block Maryland Av   Syracuse,-79.9289067,40.4525669
Burglary,200 block Robert Dr,Syracuse,Syracuse,12/19/17,10:00 a.m.-1:00 p.m.,200 block Robert Dr   Syracuse,-89.0185172,40.5070917
Burglary,400 block Carbon St,Syracuse,Syracuse,12/19/17,8:39 p.m.,400 block Carbon St   Syracuse,-75.8267733,40.9376994
Larceny,1500 block Lodi St,Syracuse,Syracuse,12/19/17,7:37 a.m.,1500 block Lodi St   Syracuse,-76.1486352,43.0610358
Larceny,1100 block Willis Av,Syracuse,Syracuse,12/19/17,6:30 p.m.-8:15 a.m.,1100 block Willis Av   Syracuse,-94.1065658,41.8385418
Larceny,2000 block E  Fayette St,Syracuse,Syracuse,12/19/17,6:00 p.m.-10:30 a.m.,2000 block E  Fayette St   Syracuse,-75.2973987,40.082885
Larceny,1000 block S  Clinton St,Syracuse,Syracuse,12/19/17,12:38 p.m.,1000 block S  Clinton St   Syracuse,-74.0325412,40.7496183
Larceny,3900 block S  Salina St,Syracuse,Syracuse,12/19/17,7:37 p.m.,3900 block S  Salina St   Syracuse,-76.1421652,43.010723
Larceny,100 block Village Dr,Syracuse,Syracuse,12/19/17,8:08 p.m.,100 block Village Dr   Syracuse,-75.4041467,40.0847622
Larceny,500 block Wescott St,Syracuse,Syracuse,12/19/17,1:00 p.m.,500 block Wescott St   Syracuse,-73.9647432,41.0120024
Larceny,600 block Berwick Rd,Syracuse,Syracuse,12/19/17,9:00 a.m.-2:00 p.m.,600 block Berwick Rd   Syracuse,-70.622254,43.2487397
Robbery,300 block Seward St,Syracuse,Syracuse,12/19/17,10:45 p.m.,300 block Seward St   Syracuse,-134.4089069,58.3016265
Vehicle theft,200 block Hubbell Av,Syracuse,Syracuse,12/19/17,4:07 a.m.,200 block Hubbell Av   Syracuse,NA,NA
Aggravated assault,2000 block E  Fayette St,Syracuse,Syracuse,12/18/17,1:30 p.m.-1:36 p.m.,2000 block E  Fayette St   Syracuse,-75.2973987,40.082885
Burglary,500 block Talman St,Syracuse,Syracuse,12/18/17,2:00 a.m.-5:09 a.m.,500 block Talman St   Syracuse,-72.0682871,41.5235442
Burglary,600 block Catherine St,Syracuse,Syracuse,12/18/17,7:30 p.m.-9:30 a.m.,600 block Catherine St   Syracuse,-83.7419646,42.2828351
Burglary,1100 block W  Belden Av,Syracuse,Syracuse,12/18/17,5:15 p.m.-5:39 p.m.,1100 block W  Belden Av   Syracuse,-87.6559891,41.9235141
Burglary,700 block Marcellus St,Syracuse,Syracuse,12/18/17,5:30 p.m.-8:10 p.m.,700 block Marcellus St   Syracuse,-76.1685253,43.0453398
Larceny,300 block Montgomery St,Syracuse,Syracuse,12/18/17,5:30 a.m.-6:50 a.m.,300 block Montgomery St   Syracuse,NA,NA
Larceny,100 block Wall St,Syracuse,Syracuse,12/18/17,9:05 a.m.,100 block Wall St   Syracuse,-74.0068009,40.7052203
Larceny,1 block Destiny Usa Dr,Syracuse,Syracuse,12/18/17,1:27 p.m.,1 block Destiny Usa Dr   Syracuse,-76.1726785,43.069265
Larceny,800 block Wolf St,Syracuse,Syracuse,12/18/17,2:31 p.m.,800 block Wolf St   Syracuse,-76.1593926,43.077054
Larceny,100 block Colby Av,Syracuse,Syracuse,12/18/17,2:00 a.m.-3:00 p.m.,100 block Colby Av   Syracuse,-122.2089321,47.9789067
Larceny,2300 block James St,Syracuse,Syracuse,12/18/17,6:30 p.m.-8:00 p.m.,2300 block James St   Syracuse,-76.1153666,43.0681122
Larceny,400 block Snyder Av,Syracuse,Syracuse,12/18/17,9:00 p.m.-4:30 a.m.,400 block Snyder Av   Syracuse,NA,NA
Vehicle theft,1500 block N  State St,Syracuse,Syracuse,12/18/17,4:29 p.m.-8:05 a.m.,1500 block N  State St   Syracuse,-119.7083108,34.4266872
Vehicle theft,900 block Hiawatha Blvd,Syracuse,Syracuse,12/18/17,9:30 a.m.-11:30 a.m.,900 block Hiawatha Blvd   Syracuse,-76.1584123,43.0803057
Vehicle theft,500 block S  Clinton St,Syracuse,Syracuse,12/18/17,2:40 p.m.,500 block S  Clinton St   Syracuse,-73.9999249,40.6791091
Burglary,700 block N  Alvord St,Syracuse,Syracuse,12/17/17,3:29 a.m.,700 block N  Alvord St   Syracuse,-76.1524973,43.0649446
Burglary,200 block Grand Av,Syracuse,Syracuse,12/17/17,5:00 p.m.-12:00 p.m.,200 block Grand Av   Syracuse,-93.6207502,41.5884999
Burglary,1000 block Harrison St,Syracuse,Syracuse,12/17/17,12:00 p.m.-6:00 p.m.,1000 block Harrison St   Syracuse,-80.1257047,26.0107498
Larceny,100 block Maurice Av,Syracuse,Syracuse,12/17/17,7:23 a.m.,100 block Maurice Av   Syracuse,-76.1587062,43.0129221
Larceny,700 block Erie Blvd W,Syracuse,Syracuse,12/17/17,10:30 a.m.,700 block Erie Blvd W   Syracuse,-76.1668103,43.0489209
Larceny,2000 block Park St,Syracuse,Syracuse,12/17/17,2:50 p.m.,2000 block Park St   Syracuse,-122.2374466,37.7706138
Larceny,900 block S  Salina St,Syracuse,Syracuse,12/17/17,3:11 p.m.,900 block S  Salina St   Syracuse,-75.8980896,43.9680485
Larceny,100 block Dickerson St,Syracuse,Syracuse,12/17/17,9:50 a.m.-3:00 p.m.,100 block Dickerson St   Syracuse,-86.042605,37.0961433
Larceny,500 block Lynch Av,Syracuse,Syracuse,12/17/17,12:00 a.m.-3:00 p.m.,500 block Lynch Av   Syracuse,-76.168971,43.01454
Larceny,400 block Westmoreland Av,Syracuse,Syracuse,12/17/17,3:00 p.m.-4:00 p.m.,400 block Westmoreland Av   Syracuse,-76.1146593,43.0471993
Larceny,0 block Walsh Cir,Syracuse,Syracuse,12/17/17,1:27 p.m.,0 block Walsh Cir   Syracuse,NA,NA
Larceny,4100 block S  Salina St,Syracuse,Syracuse,12/17/17,12:00 a.m.,4100 block S  Salina St   Syracuse,-76.143005,43.008642
Larceny,200 block Woodbine Av,Syracuse,Syracuse,12/17/17,12:00 p.m.-1:15 p.m.,200 block Woodbine Av   Syracuse,-75.2604941,40.0092727
Larceny,1 block Destiny Usa Dr,Syracuse,Syracuse,12/17/17,2:25 p.m.-2:27 p.m.,1 block Destiny Usa Dr   Syracuse,NA,NA
Robbery,400 block Griffiths St,Syracuse,Syracuse,12/17/17,1:35 p.m.,400 block Griffiths St   Syracuse,-76.1469795,43.0698329
Burglary,700 block Euclid Av,Syracuse,Syracuse,12/16/17,3:00 a.m.,700 block Euclid Av   Syracuse,-93.626251,41.62739
Burglary,3400 block S  Salina St,Syracuse,Syracuse,12/16/17,1:00 a.m.-4:30 a.m.,3400 block S  Salina St   Syracuse,-83.1516984,42.3121988
Burglary,700 block Lancaster Av,Syracuse,Syracuse,12/16/17,1:00 a.m.-9:00 a.m.,700 block Lancaster Av   Syracuse,-75.3139051,40.0190197
Burglary,200 block N  Edwards Av,Syracuse,Syracuse,12/16/17,12:00 a.m.-8:30 a.m.,200 block N  Edwards Av   Syracuse,NA,NA
Larceny,2500 block James St,Syracuse,Syracuse,12/16/17,12:20 a.m.,2500 block James St   Syracuse,-76.1110518,43.0682543
Larceny,600 block N  Salina St,Syracuse,Syracuse,12/16/17,9:45 a.m.,600 block N  Salina St   Syracuse,-73.9211013,42.8298151
Larceny,600 block Butternut St,Syracuse,Syracuse,12/16/17,12:40 p.m.,600 block Butternut St   Syracuse,-76.1469414,43.059878
Larceny,500 block Turtle St,Syracuse,Syracuse,12/16/17,1:00 a.m.,500 block Turtle St   Syracuse,-76.158519,43.0703306
Larceny,300 block N  Clinton St,Syracuse,Syracuse,12/16/17,2:00 a.m.-5:00 a.m.,300 block N  Clinton St   Syracuse,-74.0348387,40.740946
Larceny,200 block Holland St,Syracuse,Syracuse,12/16/17,10:55 a.m.,200 block Holland St   Syracuse,-105.1026747,39.7199542
Larceny,100 block Seymour St,Syracuse,Syracuse,12/16/17,4:30 a.m.-12:45 p.m.,100 block Seymour St   Syracuse,-72.6807223,41.754774
Larceny,800 block N  Clinton St,Syracuse,Syracuse,12/16/17,12:00 p.m.,800 block N  Clinton St   Syracuse,-74.0331604,40.7475552
Larceny,400 block Harrison St,Syracuse,Syracuse,12/16/17,7:10 p.m.-9:30 p.m.,400 block Harrison St   Syracuse,-122.3923314,37.7867547
Larceny,100 block Herz St,Syracuse,Syracuse,12/16/17,12:00 p.m.-6:00 a.m.,100 block Herz St   Syracuse,-76.1378765,43.075759
Robbery,700 block Butternut St,Syracuse,Syracuse,12/16/17,12:00 a.m.,700 block Butternut St   Syracuse,NA,NA
Vehicle theft,100 block Stinard Av,Syracuse,Syracuse,12/16/17,9:00 a.m.-10:00 a.m.,100 block Stinard Av   Syracuse,NA,NA
Aggravated assault,100 block Elmhurst Av,Syracuse,Syracuse,12/15/17,3:00 p.m.,100 block Elmhurst Av   Syracuse,-87.9383899,41.9025563
Burglary,700 block Euclid Av,Syracuse,Syracuse,12/15/17,12:20 p.m.-4:00 p.m.,700 block Euclid Av   Syracuse,-93.626251,41.62739
Larceny,600 block James St,Syracuse,Syracuse,12/15/17,11:00 p.m.-9:50 a.m.,600 block James St   Syracuse,-76.1441092,43.0541273
Larceny,200 block Chavez Ter,Syracuse,Syracuse,12/15/17,10:00 p.m.-7:00 a.m.,200 block Chavez Ter   Syracuse,-76.1475471,43.041016
Larceny,500 block Plum St,Syracuse,Syracuse,12/15/17,2:51 p.m.,500 block Plum St   Syracuse,-76.1591559,43.0554049
Larceny,1 block Destiny Usa Dr,Syracuse,Syracuse,12/15/17,4:41 p.m.,1 block Destiny Usa Dr   Syracuse,-76.1726785,43.069265
Larceny,300 block E  Onondaga St,Syracuse,Syracuse,12/15/17,5:00 p.m.-9:44 p.m.,300 block E  Onondaga St   Syracuse,-79.045072,43.1748547
Larceny,1200 block N  Salina St,Syracuse,Syracuse,12/15/17,11:20 p.m.,1200 block N  Salina St   Syracuse,-97.7208571,30.2736115
Larceny,500 block S  Clinton St,Syracuse,Syracuse,12/15/17,10:41 a.m.,500 block S  Clinton St   Syracuse,-73.9999249,40.6791091
Larceny,1 block Destiny Usa Dr,Syracuse,Syracuse,12/15/17,5:37 p.m.,1 block Destiny Usa Dr   Syracuse,-76.1726785,43.069265
Larceny,1200 block Almond St,Syracuse,Syracuse,12/15/17,10:23 p.m.,1200 block Almond St   Syracuse,-76.987434,41.2540057
Larceny,200 block Comstock Av,Syracuse,Syracuse,12/15/17,11:00 p.m.-7:00 a.m.,200 block Comstock Av   Syracuse,-76.1309219,43.0451379
Larceny,100 block Blaine St,Syracuse,Syracuse,12/15/17,10:01 p.m.-10:20 p.m.,100 block Blaine St   Syracuse,-83.081467,42.3791035
Larceny,900 block Highland St,Syracuse,Syracuse,12/15/17,7:40 p.m.,900 block Highland St   Syracuse,-95.3820985,29.7873987
Robbery,400 block W  Onondaga St,Syracuse,Syracuse,12/15/17,5:15 p.m.,400 block W  Onondaga St   Syracuse,-79.0443258,43.1744705
Vehicle theft,700 block Erie Blvd E,Syracuse,Syracuse,12/15/17,11:13 a.m.,700 block Erie Blvd E   Syracuse,-76.1420946,43.0507406
Vehicle theft,500 block Hamilton St,Syracuse,Syracuse,12/15/17,7:00 a.m.-11:45 a.m.,500 block Hamilton St   Syracuse,-75.4677921,40.6029436
Aggravated assault,100 block Dickerson St,Syracuse,Syracuse,12/14/17,3:41 a.m.,100 block Dickerson St   Syracuse,-86.042605,37.0961433
Aggravated assault,100 block Oak St,Syracuse,Syracuse,12/14/17,2:46 p.m.,100 block Oak St   Syracuse,-119.0385026,35.3553158
Aggravated assault,2000 block E  Fayette St,Syracuse,Syracuse,12/14/17,7:45 p.m.-7:50 p.m.,2000 block E  Fayette St   Syracuse,NA,NA
Burglary,700 block Marcellus St,Syracuse,Syracuse,12/14/17,1:43 p.m.,700 block Marcellus St   Syracuse,-76.1685253,43.0453398
Burglary,300 block S  Alvord St,Syracuse,Syracuse,12/14/17,3:36 p.m.,300 block S  Alvord St   Syracuse,-97.7956333,33.2973643
Larceny,4200 block S  Salina St,Syracuse,Syracuse,12/14/17,8:01 a.m.,4200 block S  Salina St   Syracuse,-76.1432906,43.0077482
Larceny,600 block N  Salina St,Syracuse,Syracuse,12/14/17,9:40 a.m.,600 block N  Salina St   Syracuse,-73.9211013,42.8298151
Larceny,1 block Destiny Usa Dr,Syracuse,Syracuse,12/14/17,3:59 p.m.,1 block Destiny Usa Dr   Syracuse,-76.1726785,43.069265
Larceny,1100 block Park St,Syracuse,Syracuse,12/14/17,9:51 p.m.,1100 block Park St   Syracuse,-122.2460267,37.7599845
Larceny,100 block Dearborn Pl,Syracuse,Syracuse,12/14/17,9:30 p.m.-7:45 a.m.,100 block Dearborn Pl   Syracuse,-119.8153367,34.4392348
Larceny,1 block Destiny Usa Dr,Syracuse,Syracuse,12/14/17,5:45 p.m.-8:00 p.m.,1 block Destiny Usa Dr   Syracuse,NA,NA
Vehicle theft,900 block James St,Syracuse,Syracuse,12/14/17,7:30 p.m.,900 block James St   Syracuse,-89.2820602,31.3151523
Aggravated assault,100 block Weiser Ct,Syracuse,Syracuse,12/13/17,9:23 p.m.,100 block Weiser Ct   Syracuse,-76.1450725,43.042203
Burglary,1000 block N  Mcbride St,Syracuse,Syracuse,12/13/17,1:21 p.m.,1000 block N  Mcbride St   Syracuse,NA,NA
Burglary,200 block Melbourne Av,Syracuse,Syracuse,12/13/17,12:00 p.m.,200 block Melbourne Av   Syracuse,-80.566967,28.0841746
Larceny,400 block Hixson Av,Syracuse,Syracuse,12/13/17,8:14 a.m.,400 block Hixson Av   Syracuse,-76.1201176,43.0628003
Larceny,400 block James St,Syracuse,Syracuse,12/13/17,12:25 p.m.-12:39 p.m.,400 block James St   Syracuse,-76.148296,43.0524446
Larceny,2500 block Erie Blvd E,Syracuse,Syracuse,12/13/17,11:55 a.m.-2:57 p.m.,2500 block Erie Blvd E   Syracuse,-76.1035502,43.0532582
Larceny,700 block Euclid Av,Syracuse,Syracuse,12/13/17,5:10 p.m.,700 block Euclid Av   Syracuse,-93.626251,41.62739
Robbery,0 block Comstock Av,Syracuse,Syracuse,12/13/17,1:43 a.m.,0 block Comstock Av   Syracuse,-76.1293424,43.0313112
Robbery,700 block E  Adams St,Syracuse,Syracuse,12/13/17,7:52 p.m.,700 block E  Adams St   Syracuse,NA,NA
Vehicle theft,600 block E  Seneca Tpke,Syracuse,Syracuse,12/13/17,11:00 p.m.-6:38 a.m.,600 block E  Seneca Tpke   Syracuse,-76.1580234,43.003286
Vehicle theft,200 block Lemoyne Av,Syracuse,Syracuse,12/13/17,5:20 p.m.-5:40 p.m.,200 block Lemoyne Av   Syracuse,-76.1645255,43.0680885
Aggravated assault,0 block Spring St,Syracuse,Syracuse,12/12/17,1:22 p.m.,0 block Spring St   Syracuse,-71.5593644,41.1532073
Aggravated assault,100 block Lakeview Av,Syracuse,Syracuse,12/12/17,6:29 p.m.-6:36 p.m.,100 block Lakeview Av   Syracuse,-74.141259,40.8990173
Burglary,300 block N  Salina St,Syracuse,Syracuse,12/12/17,11:00 p.m.-10:00 a.m.,300 block N  Salina St   Syracuse,-121.6560317,36.6736161
Burglary,200 block Martin Luther King      W,Syracuse,Syracuse,12/12/17,11:20 a.m.-3:15 p.m.,200 block Martin Luther King      W   Syracuse,-85.1675095,32.8691637
Larceny,200 block N  Lowell Av,Syracuse,Syracuse,12/12/17,6:00 p.m.-9:00 a.m.,200 block N  Lowell Av   Syracuse,-71.1073486,42.7730425
Larceny,1 block Destiny Usa Dr,Syracuse,Syracuse,12/12/17,2:17 p.m.,1 block Destiny Usa Dr   Syracuse,-76.1726785,43.069265
Larceny,300 block Delaware St,Syracuse,Syracuse,12/12/17,2:00 p.m.,300 block Delaware St   Syracuse,-104.9928153,39.7209481
Larceny,500 block Hixson Av,Syracuse,Syracuse,12/12/17,7:25 p.m.,500 block Hixson Av   Syracuse,-76.120366,43.061928
Larceny,200 block Eldorado St,Syracuse,Syracuse,12/12/17,9:24 p.m.,200 block Eldorado St   Syracuse,-73.7407872,40.5922281
Larceny,200 block Parkway Dr,Syracuse,Syracuse,12/12/17,10:25 a.m.,200 block Parkway Dr   Syracuse,-83.5633748,35.8666556
Larceny,300 block Clairmonte Av,Syracuse,Syracuse,12/12/17,6:15 p.m.,300 block Clairmonte Av   Syracuse,-76.1691895,43.0302576
Larceny,1300 block E  Adams St,Syracuse,Syracuse,12/12/17,1:30 a.m.-3:30 p.m.,1300 block E  Adams St   Syracuse,-104.948081,39.7369998
Murder,300 block Merriman Av,Syracuse,Syracuse,12/12/17,1:09 a.m.,300 block Merriman Av   Syracuse,-76.167415,43.0402368
Robbery,900 block E  Genesee St,Syracuse,Syracuse,12/12/17,3:16 a.m.,900 block E  Genesee St   Syracuse,NA,NA
Robbery,300 block Burt St,Syracuse,Syracuse,12/12/17,8:14 p.m.,300 block Burt St   Syracuse,-76.1463601,43.0378103
Vehicle theft,100 block Sabine St,Syracuse,Syracuse,12/12/17,7:00 p.m.-5:20 a.m.,100 block Sabine St   Syracuse,-95.375323,29.761295
Vehicle theft,100 block Fordham Rd,Syracuse,Syracuse,12/12/17,8:00 p.m.,100 block Fordham Rd   Syracuse,NA,NA
